Region,BlockNumber,BlockName,SiteID,SiteName,SampleDate,YearSample,TransectNumber,CoreType,NumCore,Notes,Size_5,Size_6,Size_7,Size_8,Size_9,Size_10,Size_11,Size_12,Size_13,Size_14,Size_15,Size_16,Size_17,Size_18,Size_19,Size_20,Size_21,Size_22,Size_23,Size_24,Size_25,Size_26,Size_27,Size_28,Size_29,Size_30,Size_31,Size_32,Size_33,Size_34,Size_35,Size_36,Size_37,Size_38,Size_39,Size_40,Size_41,Size_42,Size_43,Size_44,Size_45,Size_46,Size_47,Size_48,Size_49,Size_50,Size_51,Size_52,Size_53,Size_54,Size_55,Size_56,Size_57,Size_58,Size_59,Size_60,Size_61,Size_62,Size_63,Size_64,Size_65,Size_66,Size_67,Size_68,Size_69,Size_70,Size_71,Size_72,Size_73,Size_74,Size_75,Size_76,Size_77,Size_78,Size_79
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,2,p,1,,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,3,p,1,,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,4,p,1,lab: no mussels in primary core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,5,p,1,,5,0,1,2,1,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,6,p,1,,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,7,p,1,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,8,p,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,9,p,1,,2,2,1,3,2,3,2,0,1,2,1,0,0,2,2,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,10,p,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,1,a,2,,12,3,2,1,0,2,0,2,1,0,1,1,2,1,2,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,2,a,3,lab: lost additional bag,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,3,a,1,,4,1,1,0,0,0,0,1,1,0,0,1,0,1,2,0,2,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKP,10,KATM,AKP_B10_MI_01,Kukak,7/15/2016,2016,4,a,8,,0,0,0,0,0,0,1,0,0,4,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
