Kingdom,Phylum,Class,Order,Family,Genus,Species,Sampling_ScientificName,Type,Taxon_Authority,Taxon_AuthorityID
Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Dermasterias imbricata,.,seastar,ITIS,157139
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Evasterias,Evasterias troschelii,.,seastar,ITIS,990379
Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,Henricia leviuscula,.,seastar,ITIS,157157
Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,Henricia spp.,.,seastar,ITIS,157152
Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Mediaster ,Mediaster aequalis,.,seastar,ITIS,157011
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,Orthasterias koehleri,.,seastar,ITIS,157270
Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Pisaster ochraceus,.,seastar,ITIS,157253
Animalia,Echinodermata,Asteroidea,Forcipulatida,Pycnopodiidae,Pycnopodia,Pycnopodia helianthoides,.,seastar,ITIS,157274
Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,Solaster spp.,.,seastar,ITIS,157074
